pm10,month
57,1
25,2
17,3
31,4
10,5
12,6
23,7
17,8
16,9
16,10
27,11
27,12
26,13
26,14
23,15
19,16
25,17
37,18
34,19
36,20
52,21
53,22
37,23
37,24
24,25
24,26
20,27
42,28
36,29
39,30
26,31
17,32
28,33
12,34
17,35
23,36
31,37
20,38
15,39
40,40
28,41
27,42
25,43
24,44
21,45
27,46
37,47
29,48
32,49
50,50
39,51
32,52
31,53
22,54
24,55
22,56
36,57
33,58
32,59
21,60
14,61
25,62
11,63
12,64
18,65
17,66
15,67
15,68
21,69
23,70
23,71
24,72
22,73
19,74
21,75
28,76
25,77
28,78
43,79
34,80
25,81
32,82
20,83
22,84
20,85
32,86
23,87
34,88
21,89
11,90
29,91
13,92
16,93
19,94
27,95
13,96
19,97
35,98
32,99
30,100
28,101
23,102
24,103
22,104
27,105
19,106
26,107
36,108
36,109
20,110
31,111
26,112
26,113
39,114
48,115
48,116
29,117
15,118
8,119
20,120
9,121
9,122
14,123
14,124
11,125
13,126
18,127
20,128
20,129
19,130
18,131
16,132
15,133
22,134
19,135
23,136
37,137
36,138
20,139
25,140
15,141
18,142
16,143
26,144
20,145
34,146
36,147
18,148
15,149
21,150
32,151
29,152
27,153
25,154
46,155
48,156
37,157
55,158
19,159
13,160
11,161
16,162
29,163
36,164
37,165
22,166
15,167
18,168
18,169
21,170
28,171
34,172
40,173
26,174
35,175
17,176
13,177
18,178
28,179
32,180
26,181
20,182
28,183
42,184
36,185
33,186
20,187
13,188
11,189
18,190
31,191
24,192
32,193
20,194
17,195
17,196
19,197
21,198
23,199
26,200
29,201
18,202
25,203
16,204
13,205
15,206
26,207
30,208
21,209
17,210
24,211
30,212
24,213
24,214
18,215
16,216
9,217
16,218
29,219
24,220
25,221
15,222
14,223
15,224
42,225
5,226
19,227
24,228
28,229
34,230
31,231
28,232
25,233
18,234
33,235
34,236
27,237
22,238
35,239
46,240
27,241
47,242
21,243
18,244
10,245
16,246
23,247
49,248
47,249
14,250
12,251
16,252
18,253
23,254
28,255
25,256
43,257
17,258
25,259
15,260
11,261
13,262
21,263
25,264
18,265
15,266
18,267
26,268
23,269
24,270
13,271
8,272
7,273
11,274
17,275
20,276
19,277
13,278
10,279
10,280
12,281
15,282
19,283
18,284
21,285
36,286
35,287
54,288
49,289
80,290
26,291
86,292
23,293
33,294
58,295
15,296
56,297
49,298
32,299
35,300
44,301
60,302
62,303
34,304
33,305
52,306
